model_i,model_j,tier_i,tier_j,rho,J_eff
GPT-4 Turbo (2024-04-09),GPT-4 (1106-preview),frontier-closed,frontier-closed,0.8545971512794495,5.877444347200502
Claude 3 Opus,Claude 3.5 Sonnet,frontier-closed,frontier-closed,0.8545119166374207,5.873415175233573
Llama 3.1 405B Instruct,Llama 3 70B Instruct,frontier-open,frontier-open,0.8535137176513672,5.82657777893517
GPT-4 Turbo (2024-04-09),GPT-4o (2024-05-13),frontier-closed,frontier-closed,0.8492866158485413,5.635110780838512
Llama 3 70B Instruct,Llama 3 8B Instruct,frontier-open,non-frontier,0.8465620279312134,5.517291557735771
GPT-4o (2024-05-13),GPT-4 (1106-preview),frontier-closed,frontier-closed,0.8428910374641418,5.365009251281655
Claude 3 Opus,Claude 3 Sonnet,frontier-closed,frontier-closed,0.8426030874252319,5.353364774705928
Claude 3.5 Sonnet,Claude 3 Sonnet,frontier-closed,frontier-closed,0.8388292193412781,5.204598599776553
Llama 3.1 405B Instruct,Llama 3 8B Instruct,frontier-open,non-frontier,0.83725905418396,5.144735087937766
Mistral Large (2402),Mixtral 8x22B Instruct,frontier-closed,frontier-open,0.8294855356216431,4.864605115147803
GPT-4 (1106-preview),Claude 3.5 Sonnet,frontier-closed,frontier-closed,0.8256738781929016,4.736374959953253
Mistral Large (2402),Mixtral 8x7B Instruct,frontier-closed,non-frontier,0.8250854015350342,4.717075697374071
GPT-4 (1106-preview),Mistral Large (2402),frontier-closed,frontier-closed,0.8233417868614197,4.660648221407886
GPT-4 (1106-preview),Claude 3 Opus,frontier-closed,frontier-closed,0.8223109841346741,4.627809885321893
GPT-4o (2024-05-13),Mistral Large (2402),frontier-closed,frontier-closed,0.8198079466819763,4.549634301769595
GPT-4o (2024-05-13),Claude 3.5 Sonnet,frontier-closed,frontier-closed,0.8192287087440491,4.531851839151369
GPT-4 Turbo (2024-04-09),Mistral Large (2402),frontier-closed,frontier-closed,0.8190978765487671,4.527851088323887
Mixtral 8x22B Instruct,Mixtral 8x7B Instruct,frontier-open,non-frontier,0.8174445033073425,4.477786306722699
Claude 3 Opus,Mistral Large (2402),frontier-closed,frontier-closed,0.8163783550262451,4.445981056007479
